date,topic,arxiv_id,title,arxiv_category,role,used_in_article,main_area,sub_area,method_tag
2026-05-16,FePCCu-ductility,10.1016/j.pnsc.2025.03.005,The impact of Cu content on crystallization kinetics and soft magnetic properties for ductility FePCCu amorphous alloy,cond-mat.mtrl-sci,anchor,yes,Fe-based amorphous/nanocrystalline,mechanical properties;crystallization kinetics;soft magnetism,DSC;XRD;TEM;VSM;bending test;Vickers hardness
2026-05-16,FePCCu-ductility,10.1016/j.scriptamat.2011.06.020,Ternary Fe-P-C bulk metallic glass with good soft-magnetic and mechanical properties,cond-mat.mtrl-sci,related,yes,Fe-based BMG,boron-free;mechanical properties;soft magnetism,compression test;XRD;DSC
2026-05-16,FePCCu-ductility,10.1016/j.pnsc.2024.07.009,Development of high-performance Fe-rich Fe-P-C amorphous alloys with enhanced magnetization and low coercivity,cond-mat.mtrl-sci,related,yes,Fe-based amorphous,boron-free;high-Fe content;soft magnetism,VSM;DSC;XRD
2026-05-16,FePCCu-ductility,10.1007/s10854-014-1970-7,The excellent soft magnetic properties and corrosion behaviour of nanocrystalline FePCCu alloys,cond-mat.mtrl-sci,related,yes,Fe-based nanocrystalline,FePC;Cu addition;corrosion,VSM;XRD;DSC
2026-05-16,FePCCu-ductility,10.1007/s11431-012-4928-0,FePCCu nanocrystalline alloys with excellent soft magnetic properties,cond-mat.mtrl-sci,related,yes,Fe-based nanocrystalline,FePC;Cu addition;nanocrystallization,VSM;XRD;DSC
2026-05-16,FePCCu-ductility,10.1016/j.actamat.2012.10.040,Modern soft magnets: amorphous and nanocrystalline materials,cond-mat.mtrl-sci,related,yes,nanocrystalline soft magnets,random anisotropy model;Hc D^6 law,review;theory
2026-05-16,FePCCu-ductility,10.2320/matertrans.43.589,Structure and magnetic properties of Fe42.5Co42.5Nb7B8 nanocrystalline alloy,cond-mat.mtrl-sci,related,yes,Fe-Co-based nanocrystalline,alpha-Fe;ductility;soft magnetism,XRD;VSM;bending
2026-05-16,FePCCu-ductility,10.1038/s41563-021-01129-6,Data-driven discovery of a universal indicator for metallic glass forming ability,cond-mat.mtrl-sci,related,yes,metallic glass,AFA;delta-q indicator;data-driven,XRD;machine learning;data analysis
2026-05-16,FePCCu-ductility,10.2320/matertrans.44.2020,Origin of low coercivity of Fe-(Al Ga)-(P C B Si Ge) bulk glassy alloys,cond-mat.mtrl-sci,related,yes,Fe-based BMG,boron-free;low coercivity;bulk metallic glass,VSM;XRD;DSC
2026-05-16,FePCCu-ductility,10.1016/s1359-6462(02)00597-3,The kinetics of nanocrystallization and microstructural observations in FINEMET NANOPERM and HITPERM,cond-mat.mtrl-sci,related,yes,Fe-based nanocrystalline,FINEMET;NANOPERM;HITPERM;crystallization kinetics,DSC;TEM;XRD
2026-05-16,FePCCu-ductility,10.1016/j.mseb.2020.114740,Optimization of crystallization behavior and soft magnetic properties of the Si-free Fe-B-P-C-Cu nanocrystalline alloys by Cu content tuning,cond-mat.mtrl-sci,related,yes,Fe-based nanocrystalline,Cu optimization;B-P-C;soft magnetism,DSC;XRD;VSM;TEM
